"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","04206","宮城県 白石市","","32,758",""
"2020100000","2020年度","04207","宮城県 名取市","","78,718",""
"2020100000","2020年度","04208","宮城県 角田市","","27,976",""
"2020100000","2020年度","04209","宮城県 多賀城市","","62,827",""
"2020100000","2020年度","04211","宮城県 岩沼市","","44,068",""
"2020100000","2020年度","04212","宮城県 登米市","","76,037",""
"2020100000","2020年度","04213","宮城県 栗原市","","64,637",""
"2020100000","2020年度","04214","宮城県 東松島市","","39,098",""
"2020100000","2020年度","04215","宮城県 大崎市","","127,330",""
"2020100000","2020年度","04216","宮城県 富谷市","","51,651",""
"2020100000","2020年度","04301","宮城県 蔵王町","","11,418",""
"2020100000","2020年度","04302","宮城県 七ヶ宿町","","1,262",""
"2020100000","2020年度","04321","宮城県 大河原町","","23,571",""
"2020100000","2020年度","04322","宮城県 村田町","","10,666",""
"2020100000","2020年度","04323","宮城県 柴田町","","38,271",""
"2020100000","2020年度","04324","宮城県 川崎町","","8,345",""
"2020100000","2020年度","04341","宮城県 丸森町","","12,262",""
"2020100000","2020年度","04361","宮城県 亘理町","","33,087",""
"2020100000","2020年度","04362","宮城県 山元町","","12,046",""
"2020100000","2020年度","04401","宮城県 松島町","","13,323",""
"2020100000","2020年度","04404","宮城県 七ヶ浜町","","18,132",""
"2020100000","2020年度","04406","宮城県 利府町","","35,182",""
"2020100000","2020年度","04421","宮城県 大和町","","28,786",""
"2020100000","2020年度","04422","宮城県 大郷町","","7,813",""
"2020100000","2020年度","04424","宮城県 大衡村","","5,849",""
"2020100000","2020年度","04444","宮城県 色麻町","","6,698",""
"2020100000","2020年度","04445","宮城県 加美町","","21,943",""
"2020100000","2020年度","04501","宮城県 涌谷町","","15,388",""
"2020100000","2020年度","04505","宮城県 美里町","","23,994",""
"2020100000","2020年度","04581","宮城県 女川町","","6,430",""
"2020100000","2020年度","04606","宮城県 南三陸町","","12,225",""
"2020100000","2020年度","05201","秋田県 秋田市","","307,672",""
"2020100000","2020年度","05202","秋田県 能代市","","49,968",""
"2020100000","2020年度","05203","秋田県 横手市","","85,555",""
"2020100000","2020年度","05204","秋田県 大館市","","69,237",""
"2020100000","2020年度","05206","秋田県 男鹿市","","25,154",""
"2020100000","2020年度","05207","秋田県 湯沢市","","42,091",""
"2020100000","2020年度","05209","秋田県 鹿角市","","29,088",""
"2020100000","2020年度","05210","秋田県 由利本荘市","","74,707",""
